location,displayName
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.846481, 'longitude': -80.259613}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
"{'latitude': 25.705091600000003, 'longitude': -80.2890178}","{'text': 'South Miami', 'languageCode': 'en'}"
"{'latitude': 25.8455533, 'longitude': -80.2488182}","{'text': 'Northside', 'languageCode': 'en'}"
"{'latitude': 25.8494665, 'longitude': -80.2579847}","{'text': 'Miami Station', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 25.5875372, 'longitude': -80.3637335}","{'text': 'Hollywood Station', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.669273999999998, 'longitude': -80.0695463}","{'text': 'Estación tren de Miami', 'languageCode': 'en'}"
"{'latitude': 25.7646518, 'longitude': -80.2514319}","{'text': 'Train Miami', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 26.553783, 'longitude': -80.07059699999999}","{'text': 'Boynton Beach', 'languageCode': 'en'}"
"{'latitude': 26.6161091, 'longitude': -80.06902170000001}","{'text': 'Lake Worth', 'languageCode': 'en'}"
"{'latitude': 25.899899, 'longitude': -80.25296}","{'text': 'Opa-locka Station', 'languageCode': 'en'}"
"{'latitude': 25.8411641, 'longitude': -80.2790517}","{'text': 'Hialeah', 'languageCode': 'en'}"
"{'latitude': 25.7807228, 'longitude': -80.19606569999999}","{'text': 'Miami', 'languageCode': 'en'}"
"{'latitude': 25.845464999999997, 'longitude': -80.25967399999999}","{'text': 'Tri-Rail/Metrorail Transfer Station', 'languageCode': 'en'}"
